date,team,rank
2025-12-24,A&M-Corpus Christi,204
2025-12-24,Abilene Christian,190
2025-12-24,Air Force,310
2025-12-24,Akron,51
2025-12-24,Alabama,19
2025-12-24,Alabama A&M,274
2025-12-24,Alabama St.,267
2025-12-24,Alcorn,334
2025-12-24,American,264
2025-12-24,App State,243
2025-12-24,Arizona,2
2025-12-24,Arizona St.,82
2025-12-24,Ark.-Pine Bluff,301
2025-12-24,Arkansas,28
2025-12-24,Arkansas St.,132
2025-12-24,Army West Point,305
2025-12-24,Auburn,43
2025-12-24,Austin Peay,158
2025-12-24,BYU,9
2025-12-24,Ball St.,336
2025-12-24,Baylor,39
2025-12-24,Bellarmine,261
2025-12-24,Belmont,50
2025-12-24,Bethune-Cookman,287
2025-12-24,Binghamton,363
2025-12-24,Boise St.,46
2025-12-24,Boston College,189
2025-12-24,Boston U.,289
2025-12-24,Bowling Green,83
2025-12-24,Bradley,121
2025-12-24,Brown,260
2025-12-24,Bryant,327
2025-12-24,Bucknell,320
2025-12-24,Buffalo,143
2025-12-24,Butler,42
2025-12-24,CSU Bakersfield,322
2025-12-24,CSUN,219
2025-12-24,Cal Poly,225
2025-12-24,Cal St. Fullerton,186
2025-12-24,California,45
2025-12-24,California Baptist,101
2025-12-24,Campbell,271
2025-12-24,Canisius,337
2025-12-24,Central Ark.,238
2025-12-24,Central Conn. St.,226
2025-12-24,Central Mich.,330
2025-12-24,Charleston So.,212
2025-12-24,Charlotte,182
2025-12-24,Chattanooga,280
2025-12-24,Chicago St.,312
2025-12-24,Cincinnati,108
2025-12-24,Clemson,38
2025-12-24,Cleveland St.,349
2025-12-24,Coastal Carolina,205
2025-12-24,Col. of Charleston,195
2025-12-24,Colgate,163
2025-12-24,Colorado,60
2025-12-24,Colorado St.,71
2025-12-24,Columbia,94
2025-12-24,Coppin St.,364
2025-12-24,Cornell,149
2025-12-24,Creighton,58
2025-12-24,Dartmouth,253
2025-12-24,Davidson,118
2025-12-24,Dayton,90
2025-12-24,Delaware,278
2025-12-24,Delaware St.,352
2025-12-24,Denver,213
2025-12-24,Detroit Mercy,285
2025-12-24,Drake,167
2025-12-24,Drexel,296
2025-12-24,Duke,3
2025-12-24,Duquesne,170
2025-12-24,ETSU,154
2025-12-24,East Carolina,302
2025-12-24,East Texas A&M,250
2025-12-24,Eastern Ill.,319
2025-12-24,Eastern Ky.,284
2025-12-24,Eastern Mich.,188
2025-12-24,Eastern Wash.,279
2025-12-24,Elon,145
2025-12-24,Evansville,269
2025-12-24,FDU,354
2025-12-24,FGCU,198
2025-12-24,FIU,173
2025-12-24,Fairfield,231
2025-12-24,Fla. Atlantic,104
2025-12-24,Florida,21
2025-12-24,Florida A&M,328
2025-12-24,Florida St.,129
2025-12-24,Fordham,203
2025-12-24,Fresno St.,179
2025-12-24,Furman,160
2025-12-24,Ga. Southern,215
2025-12-24,Gardner-Webb,360
2025-12-24,George Mason,74
2025-12-24,George Washington,80
